"id","created_at","rows","cols","starting_color","status","winner","draw","original_sequence","canonical_key","source_filename","confiance"
49424,"2026-03-24 19:53:30.397927+01",9,9,"R","FINISHED","Y",False,"6,3,4,7,4,4,4,4,4,6,4,6,6,4,6,6,7,3,7,7,7,6,9,6,6,7,3,7,7,3,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,7,9,2,2,2,2,2,2,8,8,2,8,2,9,9,9,2,9,9,9,9,8,8,8","4,7,6,3,6,6,6,6,6,4,6,4,4,6,4,4,3,7,3,3,3,4,1,4,4,3,7,3,3,7,6,5,5,5,5,5,5,5,5,5,7,7,7,7,7,9,9,9,9,9,9,9,9,9,3,1,8,8,8,8,8,8,2,2,8,2,8,1,1,1,8,1,1,1,1,2,2,2","hybrid_minimax_9x9_1774378410356443000_22844",1
49423,"2026-03-24 19:52:06.070868+01",9,9,"R","FINISHED","Y",False,"3,5,5,4,4,4,4,6,7,5,5,3,3,6,5,3,6,4,5,5,6,4,4,3,3,5,7,8,1,8,3,3,4,1,6,6,4,1,5,3,1,1,7,7,7,8,8,8,7,7,7,1,1,9,7,9,9,9,9,1,9,9,9,1,9,6,6,6,2,2,2,2","3,5,5,4,4,4,4,6,7,5,5,3,3,6,5,3,6,4,5,5,6,4,4,3,3,5,7,8,1,8,3,3,4,1,6,6,4,1,5,3,1,1,7,7,7,8,8,8,7,7,7,1,1,9,7,9,9,9,9,1,9,9,9,1,9,6,6,6,2,2,2,2","hybrid_minimax_9x9_1774378325927308100_22843",1
49422,"2026-03-24 19:52:05.915531+01",9,9,"R","FINISHED","R",False,"5,5,6,6,6,4,6,5,5,6,4,8,8,5,8,6,7,5,7,5,5,6,6,7,8,7,8","5,5,4,4,4,6,4,5,5,4,6,2,2,5,2,4,3,5,3,5,5,4,4,3,2,3,2","hybrid_minimax_9x9_1774378325877657100_22842",1
49421,"2026-03-24 19:52:05.866192+01",9,9,"R","FINISHED","R",False,"4,6,5,5,6,5,4,6,5,5,4,4,6,6,2,3,3","4,6,5,5,6,5,4,6,5,5,4,4,6,6,2,3,3","hybrid_minimax_9x9_1774378325827048300_22841",1
49420,"2026-03-24 19:52:05.809696+01",9,9,"R","FINISHED","Y",False,"5,7,6,5,6,4,4,6,5,4,6,3,5,4,5,5,7,7,7,7,4,4,6,6,7,5,7,5,5,7,7,1,2,1,2,2,1,2,2,1,3,2,2,1,8,6,9,9,1,6,6,1,9,9,9,1,1,4,4,4,2,2,9,9,9,9,8,3,3,3","5,3,4,5,4,6,6,4,5,6,4,7,5,6,5,5,3,3,3,3,6,6,4,4,3,5,3,5,5,3,3,9,8,9,8,8,9,8,8,9,7,8,8,9,2,4,1,1,9,4,4,9,1,1,1,9,9,6,6,6,8,8,1,1,1,1,2,7,7,7","hybrid_minimax_9x9_1774378325770449400_22840",1
49419,"2026-03-24 19:52:05.756856+01",9,9,"R","FINISHED","Y",False,"6,3,4,3,5,7,6,5,4,6,3,4,7,7,5,5,2,6,6,4,3,7","4,7,6,7,5,3,4,5,6,4,7,6,3,3,5,5,8,4,4,6,7,3","hybrid_minimax_9x9_1774378325718391100_22839",1
49418,"2026-03-24 19:52:05.698374+01",9,9,"R","FINISHED","Y",False,"5,7,5,4,5,5,6,4,5,5,4,5,6,6,7,4,7,4,6,4,4,6,9,6,6,6,4,9,7,7,7,5,5,1,4,6,9,9,9,1,9,9,1,1,1,1,1,7,1,7,7,9,9,2,3,2,3,3","5,3,5,6,5,5,4,6,5,5,6,5,4,4,3,6,3,6,4,6,6,4,1,4,4,4,6,1,3,3,3,5,5,9,6,4,1,1,1,9,1,1,9,9,9,9,9,3,9,3,3,1,1,8,7,8,7,7","hybrid_minimax_9x9_1774378325660705100_22838",1
49417,"2026-03-24 19:52:05.64042+01",9,9,"R","FINISHED","R",False,"5,5,7,4,5,6,4,6,6,5,4,6,4,4,8,5,8,8,5,6,4,6,6,8,5,8,8,4,6,5,8,5,6,4,1,8,1,1,2,2,2,2,2,2,8,2,4,2,2,9,9,9,9,1,9,9,1,9,3,1,9,9,1,1,1,3,3","5,5,3,6,5,4,6,4,4,5,6,4,6,6,2,5,2,2,5,4,6,4,4,2,5,2,2,6,4,5,2,5,4,6,9,2,9,9,8,8,8,8,8,8,2,8,6,8,8,1,1,1,1,9,1,1,9,1,7,9,1,1,9,9,9,7,7","hybrid_minimax_9x9_1774378325601959300_22837",1
49416,"2026-03-24 19:52:05.580765+01",9,9,"R","FINISHED","Y",False,"6,4,7,4,4,6,5,8,5,4,5,5,7,6,6,4,7,7,7,5,8,9,8,6,6,8,5,7,8,8,8,5,4,7,4,7,7,4,5,4,5,6,6,6,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,8,8,2,2,2,2,2,2,2,2,2,9,3,3,9,3,3","4,6,3,6,6,4,5,2,5,6,5,5,3,4,4,6,3,3,3,5,2,1,2,4,4,2,5,3,2,2,2,5,6,3,6,3,3,6,5,6,5,4,4,4,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,2,2,8,8,8,8,8,8,8,8,8,1,7,7,1,7,7","hybrid_minimax_9x9_1774378325414764700_22836",1
49415,"2026-03-24 19:52:05.401863+01",9,9,"R","FINISHED","R",False,"7,6,6,3,6,6,6,5,4,6,5,3,7,4,5,5,3,4,4","3,4,4,7,4,4,4,5,6,4,5,7,3,6,5,5,7,6,6","hybrid_minimax_9x9_1774378325362996300_22835",1
49414,"2026-03-24 19:52:05.351836+01",9,9,"R","FINISHED","R",False,"5,6,6,4,4,4,5,6,5,5,4,7,7","5,4,4,6,6,6,5,4,5,5,6,3,3","hybrid_minimax_9x9_1774378325207551800_22834",1
49413,"2026-03-24 19:52:05.189109+01",9,9,"R","FINISHED","R",False,"3,3,4,5,4,5,4,4,6,5,5,6,7,5,3,7,7,4,1,2,4,5,5,4,1,7,9,8,8,7,7,1,7,5,5,8,8,2,2,4,8,4,7,7,8,8,1,1,9,3,3,2,3,3,3,3,9,9,9,9,8,1,1,1,9,2,2,1,9,9,2,2,2,8,6,6,6","3,3,4,5,4,5,4,4,6,5,5,6,7,5,3,7,7,4,1,2,4,5,5,4,1,7,9,8,8,7,7,1,7,5,5,8,8,2,2,4,8,4,7,7,8,8,1,1,9,3,3,2,3,3,3,3,9,9,9,9,8,1,1,1,9,2,2,1,9,9,2,2,2,8,6,6,6","hybrid_minimax_9x9_1774378325151420000_22833",1
49412,"2026-03-24 19:52:05.140273+01",9,9,"R","FINISHED","Y",False,"4,5,6,6,6,5,6,4,6,6,4,5,5,4,7,7","4,5,6,6,6,5,6,4,6,6,4,5,5,4,7,7","hybrid_minimax_9x9_1774378325102415600_22832",1
49411,"2026-03-24 19:52:05.092021+01",9,9,"R","FINISHED","R",False,"7,3,4,5,6,5,6,4,6,6,5,3,7,5,7,4,4","3,7,6,5,4,5,4,6,4,4,5,7,3,5,3,6,6","hybrid_minimax_9x9_1774378325053834100_22831",1
49410,"2026-03-24 19:52:05.04148+01",9,9,"R","FINISHED","R",False,"4,6,6,7,5,4,6,5,6,6,4,5,5,5,2,3,3","4,6,6,7,5,4,6,5,6,6,4,5,5,5,2,3,3","hybrid_minimax_9x9_1774378324998907400_22830",1
49409,"2026-03-24 19:52:04.977352+01",9,9,"R","FINISHED","R",False,"6,6,4,7,4,6,6,5,5,4,5,3,5,5,4,3,4,4,3,3,3,3,6,5,6,6,5,3,1,5,3,4,4,3,4,5,1,6,6,1,1,1,1,1,1,1,2,2,9,2,9,9,8,8,7,8,7,7,7","4,4,6,3,6,4,4,5,5,6,5,7,5,5,6,7,6,6,7,7,7,7,4,5,4,4,5,7,9,5,7,6,6,7,6,5,9,4,4,9,9,9,9,9,9,9,8,8,1,8,1,1,2,2,3,2,3,3,3","hybrid_minimax_9x9_1774378324939422200_22829",1
49408,"2026-03-24 19:52:04.925133+01",9,9,"R","FINISHED","R",False,"6,6,3,5,4,4,6,5,3,5,5,4,4,3,3,6,4,4,5,5,8,5,6,3,3","4,4,7,5,6,6,4,5,7,5,5,6,6,7,7,4,6,6,5,5,2,5,4,7,7","hybrid_minimax_9x9_1774378324784357000_22828",1
49407,"2026-03-24 19:52:04.771702+01",9,9,"R","FINISHED","Y",False,"4,7,4,7,6,4,5,3,5,5,6,3,6,6,3,5,6,2","4,7,4,7,6,4,5,3,5,5,6,3,6,6,3,5,6,2","hybrid_minimax_9x9_1774378324621464300_22827",1
49406,"2026-03-24 19:52:04.608507+01",9,9,"R","FINISHED","R",False,"5,5,3,4,4,6,4,6,4,4,6,5,5,6,3,6,2","5,5,3,4,4,6,4,6,4,4,6,5,5,6,3,6,2","hybrid_minimax_9x9_1774378324570101400_22826",1
49405,"2026-03-24 19:52:04.549728+01",9,9,"R","FINISHED","R",False,"7,4,4,4,4,6,4,6,5,5,5,7,5,7,6,6,5,5,6,6,4,4,7,7,5,7,6,6,7,5,7,4,6,4,5,7,1,1,1,1,1,1,1,9,9,9,9,9,9,9,1,1,9,9,2,2,2,3,3,2,2,2,2,2,2,3,3,3,3","3,6,6,6,6,4,6,4,5,5,5,3,5,3,4,4,5,5,4,4,6,6,3,3,5,3,4,4,3,5,3,6,4,6,5,3,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,9,1,1,8,8,8,7,7,8,8,8,8,8,8,7,7,7,7","hybrid_minimax_9x9_1774378324511434300_22825",1
49404,"2026-03-24 19:52:04.490768+01",9,9,"R","FINISHED","Y",False,"5,3,5,5,5,6,5,4,6,5,4,3,3,5,4,4,4,6,6,6,3,4,3,3,6,4,6,3,3,6,5,4,4,5,1,6,9,1,8,8,8,8,8,8,1,1,1,1,1,9,8,8,8,3,9,9,9,1,1,9,9,9,9,2,7,7,7,7","5,3,5,5,5,6,5,4,6,5,4,3,3,5,4,4,4,6,6,6,3,4,3,3,6,4,6,3,3,6,5,4,4,5,1,6,9,1,8,8,8,8,8,8,1,1,1,1,1,9,8,8,8,3,9,9,9,1,1,9,9,9,9,2,7,7,7,7","hybrid_minimax_9x9_1774378324451317000_22824",1
49403,"2026-03-24 19:52:04.428685+01",9,9,"R","FINISHED","Y",False,"6,5,4,6,4,6,5,5,6,5,4,4,7,4,7,7,5,4,4,5,3,6,5,7,5,3,6,5,6,4,7,4,7,7,1,2,6,6,2,9,2,9,9,9,2,2,2,2,9,9,1,1,9,7,7,9,1,1,1,2,2,1,1,1,9,8,3,3,3,3","4,5,6,4,6,4,5,5,4,5,6,6,3,6,3,3,5,6,6,5,7,4,5,3,5,7,4,5,4,6,3,6,3,3,9,8,4,4,8,1,8,1,1,1,8,8,8,8,1,1,9,9,1,3,3,1,9,9,9,8,8,9,9,9,1,2,7,7,7,7","hybrid_minimax_9x9_1774378324279643800_22823",1
49402,"2026-03-24 19:52:04.259454+01",9,9,"R","FINISHED","R",False,"6,4,6,6,6,5,6,6,5,5,5,2,3,3,5,5,3,3,6,2,2,3,5,5,3,3,4,4,4,2,2,4,4,3,6,1,4,9,4,4,5,9,9,8,8,6,8,8,8,3,8,8,9,8,9,9,2,2,9,8,9,1,1,1,7,7,7","4,6,4,4,4,5,4,4,5,5,5,8,7,7,5,5,7,7,4,8,8,7,5,5,7,7,6,6,6,8,8,6,6,7,4,9,6,1,6,6,5,1,1,2,2,4,2,2,2,7,2,2,1,2,1,1,8,8,1,2,1,9,9,9,3,3,3","hybrid_minimax_9x9_1774378324218658500_22822",1
49401,"2026-03-24 19:52:04.187917+01",9,9,"R","FINISHED","Y",False,"4,4,7,7,5,6,6,5,6,6,5,7,4,4,5,5,1,6,6,4,4,5,5,2,4,4,6,6,5,9,2,2,4,1,6,2,2,5,2,9,2,2,2,1,1,3,1,1,1,1,1,8,8,9,9,9,8,8,8,8,8,9,9,8,8,9,3,3,3,3","4,4,7,7,5,6,6,5,6,6,5,7,4,4,5,5,1,6,6,4,4,5,5,2,4,4,6,6,5,9,2,2,4,1,6,2,2,5,2,9,2,2,2,1,1,3,1,1,1,1,1,8,8,9,9,9,8,8,8,8,8,9,9,8,8,9,3,3,3,3","hybrid_minimax_9x9_1774378324141166400_22821",1
49400,"2026-03-24 19:52:04.125868+01",9,9,"R","FINISHED","Y",False,"4,7,5,6,4,4,6,4,4,5,3,2,3,3,3,5,6,5,5,6,6,3,5,5,5,3,7,1,2,2","4,7,5,6,4,4,6,4,4,5,3,2,3,3,3,5,6,5,5,6,6,3,5,5,5,3,7,1,2,2","hybrid_minimax_9x9_1774378324087940400_22820",1
49399,"2026-03-24 19:52:04.076205+01",9,9,"R","FINISHED","R",False,"6,4,4,4,6,4,5,6,5,5,8,7,7","4,6,6,6,4,6,5,4,5,5,2,3,3","hybrid_minimax_9x9_1774378324038230100_22819",1
49398,"2026-03-24 19:52:04.016189+01",9,9,"R","FINISHED",NULL,True,"3,4,5,4,4,6,4,4,5,5,3,5,5,5,4,4,5,5,3,3,1,6,6,6,6,6,6,6,4,3,3,3,1,1,6,3,5,4,9,9,9,9,9,9,1,1,1,1,9,9,9,3,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,1,7,7,7,1,7,7,7,7,7,7,2,2","3,4,5,4,4,6,4,4,5,5,3,5,5,5,4,4,5,5,3,3,1,6,6,6,6,6,6,6,4,3,3,3,1,1,6,3,5,4,9,9,9,9,9,9,1,1,1,1,9,9,9,3,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,1,7,7,7,1,7,7,7,7,7,7,2,2","hybrid_minimax_9x9_1774378323976907100_22818",1
49397,"2026-03-24 19:52:03.963433+01",9,9,"R","FINISHED","R",False,"4,4,4,7,4,4,4,4,5,6,2,3,3,5,5,5,3,5,2,2,1","4,4,4,7,4,4,4,4,5,6,2,3,3,5,5,5,3,5,2,2,1","hybrid_minimax_9x9_1774378323925116600_22817",1
49396,"2026-03-24 19:52:03.904481+01",9,9,"R","FINISHED","Y",False,"5,7,5,4,5,5,6,4,5,5,4,5,6,6,7,4,7,4,6,4,4,6,7,7,6,6,5,6,9,9,9,9,6,9,5,9,9,9,4,4,1,9,1,1,1,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,8,8,8,8,8,7,3,8,7,7","5,3,5,6,5,5,4,6,5,5,6,5,4,4,3,6,3,6,4,6,6,4,3,3,4,4,5,4,1,1,1,1,4,1,5,1,1,1,6,6,9,1,9,9,9,9,9,9,8,9,9,7,8,8,8,8,8,8,8,8,2,2,2,2,2,3,7,2,3,3","hybrid_minimax_9x9_1774378323761949300_22816",1
49395,"2026-03-24 19:52:03.745117+01",9,9,"R","FINISHED","R",False,"6,4,7,4,4,5,4,5,6,5,5,2,3,3,2,5,4,4,3,1,2,3,2,2,2,6,6,5,9,8,8,9,8,8,2,2,5,8,4,9,9,7,7","4,6,3,6,6,5,6,5,4,5,5,8,7,7,8,5,6,6,7,9,8,7,8,8,8,4,4,5,1,2,2,1,2,2,8,8,5,2,6,1,1,3,3","hybrid_minimax_9x9_1774378323707130400_22815",1
49394,"2026-03-24 19:52:03.689445+01",9,9,"R","FINISHED","R",False,"4,7,5,7,5,5,5,5,6,3,4,4,4,3,3,3,7,4,7,5,3,7,5,4,4,8,7,3,3,3,4,8,7,1,7,7,5,1,4,8,8,6,6","4,7,5,7,5,5,5,5,6,3,4,4,4,3,3,3,7,4,7,5,3,7,5,4,4,8,7,3,3,3,4,8,7,1,7,7,5,1,4,8,8,6,6","hybrid_minimax_9x9_1774378323648647200_22814",1
